,Utility ID,Name,Plant Code,Nameplate Capacity (MW),Latitude,Longitude
459,57104,Golden Springs Development Company LLC,58913,1.5,37.9676,-122.382
460,61315,Solarenewal LLC,58918,1.2,33.759236,-118.239922
461,61315,Solarenewal LLC,58919,1.3,37.870331,-122.26337
462,61315,Solarenewal LLC,58920,1.5,33.989626,-117.680911
463,60281,"Altus Power America Management, LLC",58949,1.5,34.161951,-119.047916
464,60947,Tesla Inc.,58954,1.0,35.9359,-120.8408
465,60947,Tesla Inc.,58963,1.0,35.9515,-120.8679
466,56769,Consolidated Edison Development Inc.,58973,19.8,40.428329,-122.279248
467,17650,Southern Power Co,58975,102.0,38.78342,-120.778506
468,58468,Dominion Renewable Energy,58983,45.0,38.367222,-120.804444
469,58468,Dominion Renewable Energy,58984,19.0,40.976859,-122.456251
470,58468,Dominion Renewable Energy,58985,20.0,32.7261,-117.1464
471,58468,Dominion Renewable Energy,58986,20.0,40.300833,-120.105
472,58468,Dominion Renewable Energy,58990,15.0,38.2494,-122.0394
473,58468,Dominion Renewable Energy,58991,20.0,38.0314,-122.1139
474,58661,"Sustainable Power Group, LLC",59008,15.0,33.8431,-118.2347
475,58661,"Sustainable Power Group, LLC",59009,27.0,34.0692,-118.4439
476,57130,Janssen Pharmaceutical Co,59058,1.0,35.3161,-119.6597
477,58468,Dominion Renewable Energy,59086,12.0,35.666111,-119.766944
478,58468,Dominion Renewable Energy,59087,12.0,35.2761,-119.5986
479,17650,Southern Power Co,59088,20.0,35.3639,-119.6592
480,60947,Tesla Inc.,59094,1.5,35.346102,-119.643431
481,60947,Tesla Inc.,59095,1.0,36.2097,-120.3828
482,60947,Tesla Inc.,59096,1.0,35.1133,-119.4706
483,60947,Tesla Inc.,59098,1.0,36.1556,-120.3972
484,60947,Tesla Inc.,59099,1.0,35.440481,-119.007726
485,58944,"Enerparc CA 1, LLC",59122,1.5,35.459849,-119.013573
486,59622,"Ahana Renewables, LLC",59129,1.1,35.464253,-118.996337
487,59622,"Ahana Renewables, LLC",59130,1.3,34.38407,-118.494882
488,59622,"Ahana Renewables, LLC",59132,1.1,33.6433,-117.9556
489,59622,"Ahana Renewables, LLC",59133,1.1,35.3633,-119.6756
490,59622,"Ahana Renewables, LLC",59138,1.1,37.932222,-122.389722
491,59622,"Ahana Renewables, LLC",59139,1.1,35.4406,-118.9617
492,61944,Goldman Sachs Renewable Power Group,59150,100.0,37.9418,-122.3909
493,58976,"PsomasFMG Lancaster Solar Crest, LLC",59167,1.5,35.0506,-118.2572
494,58976,"PsomasFMG Lancaster Solar Crest, LLC",59169,1.5,32.6947,-117.1436
495,59139,SunEdison LLC,59182,1.5,38.8339,-122.881
496,58468,Dominion Renewable Energy,59183,20.0,35.076,-118.3664
497,61230,"CD Arevon USA, Inc.",59203,1.5,35.0853,-118.3547
498,61230,"CD Arevon USA, Inc.",59203,1.5,35.1011,-118.3372
499,61230,"CD Arevon USA, Inc.",59203,1.5,35.1011,-118.3372
500,61230,"CD Arevon USA, Inc.",59219,1.5,35.0908,-118.3936
501,61230,"CD Arevon USA, Inc.",59219,1.5,35.2269,-119.6294
