postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat_precise,Long_precise
3978,6486,8041,77.2,41722,37266,4456,0,6205,281,0,128226,"820,645",151.7,-38.147,145.423
3979,72,143,46.2,423,329,94,0,66,6,0,6342,"40,591",7.8,-38.4723141,145.6211838
3980,577,1387,38.5,3115,2408,707,0,534,43,0,31790,"203,459",38.9,-38.2138627,145.339912
3981,786,2199,31.6,5894,3171,2568,155,694,91,1,70697,"452,464",86.7,-38.182,145.575
3984,1366,3606,35.4,7465,5962,1503,0,1277,89,0,46192,"295,628",56.6,-38.4256676,145.5323505
3987,281,578,44.1,1446,1097,349,0,255,26,0,9955,"63,710",12.2,-38.3054452,145.6800684
3988,198,464,38.1,1209,757,452,0,177,21,0,13672,"87,504",16.7,-38.2975183,145.850207
3990,29,53,50.9,206,115,91,0,27,2,0,3408,"21,813",4.2,-38.4399786,145.5247285
3991,110,192,52.6,559,445,114,0,101,9,0,7710,"49,347",9.4,-38.4734903,145.4582381
3992,224,594,34.8,1229,954,275,0,207,17,0,14449,"92,475",17.7,-38.496757,145.613081
3995,2120,6584,30.6,11781,9002,2335,444,2016,103,1,17898,"114,547",21.9,-38.5227147,145.4526995
3996,1338,4641,27.4,7000,5524,1476,0,1271,67,0,14306,"91,557",17.5,-38.6334,145.7278
