,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Voltage,Current
0,0,0,0,2.220446049250313e-16,6.071125006408302
1,1,1,1,0.0100000000000003,6.07351690439161
2,2,2,2,0.0200000000000003,6.07384292176571
3,3,3,3,0.0300000000000003,6.068747582057956
4,4,4,4,0.0400000000000002,6.065191442748414
5,5,5,5,0.0500000000000002,6.064816207666418
6,6,6,6,0.0600000000000002,6.064880623124999
7,7,7,7,0.0700000000000001,6.064905021808933
8,8,8,8,0.0800000000000003,6.064741120123617
9,9,9,9,0.09,6.065369373041399
10,10,10,10,0.1000000000000003,6.061663728012629
11,11,11,11,0.1100000000000003,6.055587500644339
12,12,12,12,0.1200000000000003,6.0530564036208006
13,13,13,13,0.1300000000000003,6.0491445160523085
14,14,14,14,0.1400000000000003,6.044327775877541
15,15,15,15,0.1500000000000003,6.042141125527198
16,16,16,16,0.1600000000000001,6.033703252389206
17,17,17,17,0.1700000000000003,6.023515267279013
18,18,18,18,0.1800000000000003,6.021431217530509
19,19,19,19,0.1900000000000004,6.02213337707914
20,20,20,20,0.2000000000000004,6.020832062697764
21,21,21,21,0.2100000000000004,6.017756539200505
22,22,22,22,0.2200000000000004,6.01069279053327
23,23,23,23,0.2300000000000002,6.001155087117247
24,24,24,24,0.2400000000000004,5.99467622174231
25,25,25,25,0.2500000000000004,5.988630126153488
26,26,26,26,0.2600000000000004,5.982521530918916
27,27,27,27,0.2700000000000004,5.979226452386875
28,28,28,28,0.2800000000000004,5.978787467254772
29,29,29,29,0.2900000000000005,5.978871345215225
30,30,30,30,0.3000000000000005,5.978889168631795
31,31,31,31,0.3100000000000005,5.978731985459877
32,32,32,32,0.3200000000000005,5.979339171334189
33,33,33,33,0.3300000000000005,5.97568829873947
34,34,34,34,0.3400000000000005,5.969335894021878
35,35,35,35,0.3500000000000005,5.9682621005209455
36,36,36,36,0.3600000000000005,5.965590387428932
37,37,37,37,0.3700000000000005,5.959484862207127
38,38,38,38,0.3800000000000005,5.954088682354229
39,39,39,39,0.3900000000000005,5.948926574624281
40,40,40,40,0.4000000000000006,5.946082327345103
41,41,41,41,0.4100000000000006,5.938476873059642
42,42,42,42,0.4200000000000006,5.926480545340187
43,43,43,43,0.4300000000000006,5.916729330070826
44,44,44,44,0.4400000000000006,5.913754440324546
45,45,45,45,0.4500000000000006,5.914867074965112
46,46,46,46,0.4600000000000006,5.911573994733338
47,47,47,47,0.4700000000000006,5.903971120471432
48,48,48,48,0.4800000000000006,5.898089982650852
49,49,49,49,0.4900000000000006,5.89627189709141
50,50,50,50,0.5000000000000007,5.894140183267574
51,51,51,51,0.5100000000000005,5.891024511717383
52,52,52,52,0.5200000000000005,5.8913904546040925
53,53,53,53,0.5300000000000005,5.880088425394881
54,54,54,54,0.5400000000000007,5.85837396688806
55,55,55,55,0.5500000000000005,5.848573325535543
56,56,56,56,0.5600000000000007,5.834532307321847
57,57,57,57,0.5700000000000005,5.815487168755031
58,58,58,58,0.5800000000000007,5.807476588447667
59,59,59,59,0.5900000000000003,5.806717133858651
60,60,60,60,0.6000000000000008,5.806720740364924
61,61,61,61,0.6100000000000005,5.802509591043378
62,62,62,62,0.6200000000000008,5.797953509889908
63,63,63,63,0.6300000000000006,5.789379939369908
64,64,64,64,0.6400000000000008,5.772638547723094
65,65,65,65,0.6500000000000006,5.7615501161766645
66,66,66,66,0.6600000000000006,5.757424372221127
67,67,67,67,0.6700000000000006,5.751114420026308
68,68,68,68,0.6800000000000008,5.738290345686131
69,69,69,69,0.6900000000000006,5.726027612388126
70,70,70,70,0.7000000000000008,5.716812975098048
71,71,71,71,0.7100000000000006,5.689912928708328
