Wavelength,EQE
320, 0.7339970850394764
340, 0.8017185936014692
360, 0.8435553927008473
380, 0.8802206410558924
400, 0.9101278599376417
420, 0.9271304383517248
440, 0.9380793755879094
460, 0.9461703479586275
480, 0.9526262831145922
499.99999999999994, 0.9570843559582018
520, 0.9605010391011536
540, 0.963327226714378
560, 0.9652222460224447
580, 0.9667453480909414
600, 0.9674444571554676
620, 0.966730847140473
640, 0.9661857611818524
660, 0.9662637908619086
680, 0.966229769626727
700, 0.9662171441849614
720, 0.9656781635321264
740, 0.9646017681744838
760, 0.9634307670246192
780, 0.9616586093069865
800, 0.9596420361073054
820, 0.9578217822358914
840, 0.9546300214663802
860, 0.9510042881920828
879.9999999999999, 0.9479678842285715
900, 0.9434804805804843
920, 0.9367397386766855
940, 0.9282263330113124
959.9999999999999, 0.917163599121594
980, 0.9019972853160987
1000, 0.8779092139797325
1020, 0.8365266191391786
1040, 0.7711835510534621
1060, 0.6816736692372312
1080, 0.5784679804183186
1100, 0.47571467460948635
1120, 0.3646743398187948
1140, 0.23772703295551056
1160, 0.11739498567531337
1180, 0.032710764758345334
